Source,Target,Type
2,1,undirected
3,1,undirected
4,1,undirected
5,1,undirected
6,1,undirected
7,1,undirected
8,1,undirected
9,1,undirected
11,1,undirected
12,1,undirected
13,1,undirected
14,1,undirected
18,1,undirected
20,1,undirected
22,1,undirected
32,1,undirected
1,2,undirected
3,2,undirected
4,2,undirected
8,2,undirected
14,2,undirected
18,2,undirected
20,2,undirected
22,2,undirected
31,2,undirected
1,3,undirected
2,3,undirected
4,3,undirected
8,3,undirected
9,3,undirected
10,3,undirected
14,3,undirected
28,3,undirected
29,3,undirected
33,3,undirected
1,4,undirected
2,4,undirected
3,4,undirected
8,4,undirected
13,4,undirected
14,4,undirected
1,5,undirected
7,5,undirected
11,5,undirected
1,6,undirected
7,6,undirected
11,6,undirected
17,6,undirected
1,7,undirected
5,7,undirected
6,7,undirected
17,7,undirected
1,8,undirected
2,8,undirected
3,8,undirected
4,8,undirected
1,9,undirected
3,9,undirected
31,9,undirected
33,9,undirected
34,9,undirected
3,10,undirected
34,10,undirected
1,11,undirected
5,11,undirected
6,11,undirected
1,12,undirected
1,13,undirected
4,13,undirected
1,14,undirected
2,14,undirected
3,14,undirected
4,14,undirected
34,14,undirected
33,15,undirected
34,15,undirected
33,16,undirected
34,16,undirected
6,17,undirected
7,17,undirected
1,18,undirected
2,18,undirected
33,19,undirected
34,19,undirected
1,20,undirected
2,20,undirected
34,20,undirected
33,21,undirected
34,21,undirected
1,22,undirected
2,22,undirected
33,23,undirected
34,23,undirected
26,24,undirected
28,24,undirected
30,24,undirected
33,24,undirected
34,24,undirected
26,25,undirected
28,25,undirected
32,25,undirected
24,26,undirected
25,26,undirected
32,26,undirected
30,27,undirected
34,27,undirected
3,28,undirected
24,28,undirected
25,28,undirected
34,28,undirected
3,29,undirected
32,29,undirected
34,29,undirected
24,30,undirected
27,30,undirected
33,30,undirected
34,30,undirected
2,31,undirected
9,31,undirected
33,31,undirected
34,31,undirected
1,32,undirected
25,32,undirected
26,32,undirected
29,32,undirected
33,32,undirected
34,32,undirected
3,33,undirected
9,33,undirected
15,33,undirected
16,33,undirected
19,33,undirected
21,33,undirected
23,33,undirected
24,33,undirected
30,33,undirected
31,33,undirected
32,33,undirected
34,33,undirected
9,34,undirected
10,34,undirected
14,34,undirected
15,34,undirected
16,34,undirected
19,34,undirected
20,34,undirected
21,34,undirected
23,34,undirected
24,34,undirected
27,34,undirected
28,34,undirected
29,34,undirected
30,34,undirected
31,34,undirected
32,34,undirected
33,34,undirected
