Source,Target,Type
24,33,undirected
24,26,undirected
24,30,undirected
24,28,undirected
24,34,undirected
25,32,undirected
25,26,undirected
25,28,undirected
26,32,undirected
27,30,undirected
27,34,undirected
20,1,undirected
20,2,undirected
20,34,undirected
21,33,undirected
21,34,undirected
22,1,undirected
22,2,undirected
23,33,undirected
23,34,undirected
28,3,undirected
28,34,undirected
29,32,undirected
29,3,undirected
29,34,undirected
1,11,undirected
1,13,undirected
1,12,undirected
1,14,undirected
1,18,undirected
1,3,undirected
1,2,undirected
1,5,undirected
1,4,undirected
1,7,undirected
1,6,undirected
1,9,undirected
1,8,undirected
1,32,undirected
3,10,undirected
3,14,undirected
3,33,undirected
3,2,undirected
3,4,undirected
3,9,undirected
3,8,undirected
2,14,undirected
2,18,undirected
2,31,undirected
2,4,undirected
2,8,undirected
5,11,undirected
5,7,undirected
4,13,undirected
4,14,undirected
4,8,undirected
7,17,undirected
7,6,undirected
6,11,undirected
6,17,undirected
9,33,undirected
9,31,undirected
9,34,undirected
10,34,undirected
15,33,undirected
15,34,undirected
14,34,undirected
16,33,undirected
16,34,undirected
33,30,undirected
33,19,undirected
33,32,undirected
33,31,undirected
33,34,undirected
31,34,undirected
30,34,undirected
34,19,undirected
34,32,undirected
